date,company_name,category,summary
2025-07-15,Osia Hyper Retail Limited,Outcome of Board Meeting,"Board met on 15 July 2025 and approved exploring fund raising up to Rs 1200 Crores via preferential allotment, convertible warrants, FCCBs, QIP or other instruments. Company will approach potential investors and proceed subject to shareholder and regulatory approvals."
2025-07-15,Slone Infosystems Limited,Notice of 3rd AGM,"Notice convenes the 3rd AGM on 6 August 2025 at 3:00 PM IST via VC/OAVM. Agenda includes adoption of FY25 financials, Re. 0.5/share dividend, re-appointment of Mohit Rajesh Khanna, and preferential allotment of up to 37,68,000 convertible warrants at Rs 264 each to promoters/non-promoters."
2025-07-15,Himadri Speciality Chemical Ltd,Media/Press Release,"Himadri reported highest-ever quarterly EBITDA of Rs. 234 Crores and PAT of Rs. 183 Crores for Q1 FY26. Birla Tyres commenced operations with a new brand identity. Himadri entered an exclusive technology license with Sicona for SiCx® silicon-carbon anode technology and invested USD 4.43 Mn for a 16.24% stake in International Battery Company, Inc."
2025-07-15,Pagaria Energy Limited,Outcome of Board Meeting,"Board approved FY25 draft report, scheduled 34th AGM on 08 Aug 2025 via VC, closed register 02-08 Aug 2025. Appointed Arpan Singha Roy as MD for 5 yrs and Bijay Bhagat as Additional Non-Executive Director, both subject to AGM approval. Resigned Hanumanmal Bengani as MD and Kartik Sarkar as Director effective 15 Jul 2025. Approved new Secretarial and Internal Auditors and resolved to enter Real Estate and amend Memorandum objects, both subject to AGM."
2025-07-15,U. P. Hotels Limited,Delisting Proposal,"Promoters Apurv Kumar and Anoop Kumar intend to acquire all 627,040 public shares (11.61%) and delist the company from BSE. Initial Public Announcement issued on 15 July 2025 by Srujan Alpha Capital Advisors LLP as Manager to the Offer."
2025-07-15,CFF Fluid Control Limited,Memorandum of Understanding,CFF Fluid Control Limited signed a MoU with Garden Reach Shipbuilders & Engineers Limited to collaborate on developing subsea-based sonar systems and jointly pursue related contracts.
2025-07-15,Somany Ceramics Limited,Acquisition,"Somany Ceramics completed acquisition of 51% equity stake (11,04,886 shares) in Dura Build Care Private Limited for INR 10,30,19,570.64. DBCPL became subsidiary of the company."
2025-07-15,Centrum Capital Limited,Board outcome – preferential allotment,"Board approved issuance of up to 5,01,91,537 equity shares of ₹1 each at ₹34.38 per share, raising ₹1,72,55,85,042.06 via preferential allotment to 55 non-promoter investors, subject to shareholder approval."
2025-07-15,Kalpataru Projects International Limited,Termination Notice,"Wainganga Expressway Private Limited (WEPL), wholly owned subsidiary of Kalpataru Projects International Limited, issued a Termination Notice to NHAI on 15 July 2025, terminating the Concession Agreement effective immediately. The Company states this action is due to NHAI's contractual defaults and, based on legal advice and a prior favourable arbitration award, expects no significant financial impact."
2025-07-15,ITD Cementation India Limited,Notice of 47th AGM and Annual Report,"ITD Cementation India Limited announced the 47th AGM on 7 August 2025 at 2:30 p.m. IST via video conference. The meeting will consider audited FY 2024-25 financial statements, declare ₹2.00 per share dividend, appoint directors, approve change of company name to Cemindia Projects Limited, and ratify a ₹1,100 crore related-party contract with Adani Road Transport Limited."
2025-07-15,Bajaj Finserv Ltd,Acquisition,"IRDAI approved transfer of 26% equity stake held by Allianz SE in Bajaj Allianz General Insurance Company and Bajaj Allianz Life Insurance Company to Bajaj Finserv Ltd, Bajaj Holdings & Investment Ltd and Jamnalal Sons Private Ltd."
2025-07-15,Cerebra Integrated Technologies Limited,Demand Notice under SARFAESI Act,Canara Bank issued a demand notice dated 9 July 2025 demanding repayment of Rs 23.54 crore within 60 days. The dues relate to multiple credit facilities classified as NPA on 30 June 2025. Cerebra is reviewing legal remedies and will update the exchanges.
2025-07-15,Elitecon International Limited,Notice of Extra-Ordinary General Meeting,"EGM scheduled for 6 Aug 2025 at 4:00 p.m. to seek shareholder approval for three special resolutions: raising up to Rs 300 crore via QIP, allotting 7,27,27,273 equity shares at Rs 55 each to Mr Santosh Sharma for acquiring 100% of Prime Place Spices Trading L.L.C, and increasing the aggregate limit for loans, guarantees and investments to Rs 1,000 crore under Section 186. E-voting runs 3–5 Aug 2025; record date 30 Jul 2025; books close 31 Jul–6 Aug 2025."
2025-07-16,Konark Synthetic Limited,Disposal of Property,Konark Synthetic completed sale of Silvassa industrial property to Amar Texoweaves LLP for ₹7.00 Crores on 15 July 2025. The property contributed 98% of total income in last financial year; proceeds will reduce debt and finance cost.
2025-07-16,Biocon Limited,FDA approval,"Biocon Biologics received U.S. FDA approval for Kirsty™ (Insulin Aspart-xjhz) 100 units/mL, the first and only interchangeable biosimilar to NovoLog® (Insulin Aspart). Kirsty is a rapid-acting insulin indicated for glycemic control in adults and pediatric patients with diabetes mellitus."
2025-07-16,Creative Eye Limited,Intimation of death of promoter director,"Mr. Dheeraj Kumar Kochhar, Chairman, Executive Director and Promoter (DIN-00018094), passed away on 15 July 2025."
2025-07-16,Adani Ports and Special Economic Zone Limited,Outcome of Finance Committee Meeting,Finance Committee approved a tender offer to purchase for cash up to US$450 million in aggregate principal amounts of outstanding senior notes. The Committee also approved the tender offer memorandum and dealer manager agreement for the offer.
2025-07-16,HDFC Bank Limited,Board meeting intimation,"Board meeting on July 19, 2025 will consider Q1 FY26 unaudited results. Agenda includes special interim dividend for FY26 and bonus shares subject to shareholder approval. Trading window for insiders remains closed through July 21, 2025."
2025-07-16,Neueon Towers Limited,Board Meeting Outcome,"Board approved unaudited Q1 FY26 results, appointed ASKM & Co. as statutory auditor and RPR & Associates as secretarial auditor for FY25-30, resolved to rename company to Neueon Corporation Limited, alter Memorandum and Articles of Association, and sell three Telangana properties by December 2025."
2025-07-16,Shilpa Medicare Limited,USFDA inspection outcome,"Unit VI, Dabaspet, Bengaluru received EIR with VAI classification from USFDA for GMP inspection conducted 24-30 Oct 2024. The facility makes Oral Dissolving Films and Transdermal Systems and already holds EMA, MHRA, SFDA and TGA approvals."
2025-07-16,Raminfo Limited,Contract Award,"Raminfo Limited awarded a ₹14.14 crore contract by the Government of Tripura to develop, deploy and maintain the 'UNNOTI' citizen services platform for 60 departments and 300+ schemes over 26 months."
2025-07-16,Raminfo Limited,Letter of Intent,"Raminfo received a ₹14.14 crore Letter of Intent from the Directorate of Information Technology, Government of Tripura, to develop, deploy, implement, and maintain the UNNOTI Services & Benefits Delivery Platform under TRESP. The project spans 42 months, with 16 months for development and deployment followed by 26 months of maintenance and support."
2025-07-16,Soma Textiles & Industries Limited,Open Offer / Takeover,"Roadway Solutions India Infra Limited along with PACs Ameet Harjinder Gadhoke and Teja Ranade Gadhoke has made an open offer to acquire up to 82,64,942 fully paid-up equity shares of ₹10 each from public shareholders of Soma Textiles & Industries Limited. Soma Textiles received the Detailed Public Statement dated 15 July 2025 and disclosed it under Regulation 30 of SEBI LODR."
2025-07-16,Suven Life Sciences,Clinical Trial Update,"Suven Life Sciences randomized the first patient in a Phase-2b trial of Ropanicant, an α4β2 antagonist for Major Depressive Disorder. The US-based, FDA IND study will enroll ~195 patients at 35 sites with topline data expected H2 2026."
